index,id,type,name_en,name_zh,mana,max_uses,price,spawn_level,spawn_probability,related_projectiles,custom_xml_file,never_unlimited,custom_uses_logic,description_en,description_zh,action_summary,action_body_lines
59,WORM_SHOT,ACTION_TYPE_PROJECTILE,Worm Launcher,蠕虫发射器,150,10,200,"3,4,5,6,10","0.6,0.8,0.6,0.4,0.6",data/entities/projectiles/deck/worm_shot.xml,,true,,Summons a giant worm to cause havoc for a moment!,召唤一条巨型蠕虫大闹特闹！,"投射物/触发: add_projectile(""data/entities/projectiles/deck/worm_shot.xml"") | 状态修正: c.fire_rate_wait += 80; c.spread_degrees += 20; current_reload_time += 40",4
60,BOMB_DETONATOR,ACTION_TYPE_STATIC_PROJECTILE,Explosive Detonator,炸药引爆器,50,,120,"2,3,4,5,6","0.5,1,0.4,0.5,1",data/entities/projectiles/deck/bomb_detonator.xml,,,,All nearby explosive spells cast by you instantly detonate,附近你施放的所有易爆法术立即引爆,"投射物/触发: add_projectile(""data/entities/projectiles/deck/bomb_detonator.xml"")",1
61,LASER,ACTION_TYPE_PROJECTILE,Concentrated light,汇聚之光,30,80,180,"1,2,4","1,1,1",data/entities/projectiles/deck/laser.xml,data/entities/misc/custom_cards/laser.xml,,,A pinpointed beam of light,汇聚起来的一束光线,"投射物/触发: add_projectile(""data/entities/projectiles/deck/laser.xml"") | 状态修正: c.fire_rate_wait -= 22 | 状态赋值: c.game_effect_entities = c.game_effect_entities .. ""data/entities/misc/effect_disintegrated.xml,""",4
62,MEGALASER,ACTION_TYPE_PROJECTILE,Intense concentrated light,强烈汇聚之光,110,,300,"3,4,5,6,10","0.6,0.6,0.8,0.6,0.3",data/entities/projectiles/deck/megalaser.xml,,,,A spectral wand is summoned that casts a huge beam of light,召唤一把施放巨大光束的幽魂魔杖,"投射物/触发: add_projectile(""data/entities/projectiles/deck/megalaser_beam.xml""); add_projectile(""data/entities/projectiles/deck/megalaser_beam.xml""); add_projectile(""data/entities/projectiles/deck/megalaser_beam.xml""); add_projectile(""data/entities/projectiles/deck/megalaser_beam.xml"") ... | 状态修正: c.fire_rate_wait += 90 | 状态赋值: c.game_effect_entities = c.game_effect_entities .. ""data/entities/misc/effect_disintegrated.xml,""",11
63,LIGHTNING,ACTION_TYPE_PROJECTILE,Lightning bolt,闪电弹,70,30,250,"1,2,5,6","1,0.9,0.7,1",data/entities/projectiles/deck/lightning.xml,data/entities/misc/custom_cards/electric_charge.xml,,,The primordial force of nature,大自然的原始力量,"投射物/触发: add_projectile(""data/entities/projectiles/deck/lightning.xml"") | 状态修正: c.fire_rate_wait += 50",3
64,BALL_LIGHTNING,ACTION_TYPE_PROJECTILE,Ball Lightning,球状闪电,70,,250,"1,2,4,5","0.2,0.4,1,1",data/entities/projectiles/deck/ball_lightning.xml,data/entities/misc/custom_cards/electric_charge.xml,,,Summons three short range electrical orbs,召唤三个短射程的电球,"投射物/触发: add_projectile(""data/entities/projectiles/deck/ball_lightning.xml""); add_projectile(""data/entities/projectiles/deck/ball_lightning.xml""); add_projectile(""data/entities/projectiles/deck/ball_lightning.xml"") | 状态修正: c.fire_rate_wait += 50",5
65,LASER_EMITTER,ACTION_TYPE_PROJECTILE,Plasma beam,电浆束,60,,180,"1,2,3,4","0.2,0.8,1,0.5",data/entities/projectiles/deck/orb_laseremitter.xml,,,,"An instantaneous, dangerous beam of light",即时的一束危险光线,"投射物/触发: add_projectile(""data/entities/projectiles/deck/orb_laseremitter.xml"") | 状态修正: c.fire_rate_wait += 6 | 状态赋值: c.game_effect_entities = c.game_effect_entities .. ""data/entities/misc/effect_disintegrated.xml,""",4
66,LASER_EMITTER_FOUR,ACTION_TYPE_PROJECTILE,Plasma Beam Cross,电浆束十字,80,,200,"1,2,3,4,5","0.2,0.9,0.3,0.5,1",data/entities/projectiles/deck/orb_laseremitter.xml,,,,"Four deadly plasma beams in a cross-shape. Look out, they can hurt you as well!",四道致命的电浆束组成十字。小心，它们也会一样伤到你自己！,"投射物/触发: add_projectile(""data/entities/projectiles/deck/orb_laseremitter_four.xml"") | 状态修正: c.fire_rate_wait += 15 | 状态赋值: c.game_effect_entities = c.game_effect_entities .. ""data/entities/misc/effect_disintegrated.xml,""",4
67,LASER_EMITTER_CUTTER,ACTION_TYPE_PROJECTILE,Plasma Cutter,电浆切割器,40,,120,"0,1,2,3,4","0.2,0.3,1,0.5,0.1",data/entities/projectiles/deck/orb_laseremitter_cutter.xml,,,,A plasma beam specialized in cutting materials!,专长切割材料的电浆束！,"投射物/触发: add_projectile(""data/entities/projectiles/deck/orb_laseremitter_cutter.xml"") | 状态修正: current_reload_time += 10 | 状态赋值: c.game_effect_entities = c.game_effect_entities .. ""data/entities/misc/effect_disintegrated.xml,""",3
68,DIGGER,ACTION_TYPE_PROJECTILE,Digging bolt,挖掘魔弹,0,,70,"1,2","1,0.5",data/entities/projectiles/deck/digger.xml,,,,A bolt that is ideal for mining operations,采矿作业的理想魔弹,"投射物/触发: add_projectile(""data/entities/projectiles/deck/digger.xml"") | 状态修正: c.fire_rate_wait += 1; current_reload_time -= ACTION_DRAW_RELOAD_TIME_INCREASE - 10",3
69,POWERDIGGER,ACTION_TYPE_PROJECTILE,Digging blast,挖掘爆破,0,,110,"2,3,4","0.5,1,0.8",data/entities/projectiles/deck/powerdigger.xml,,,,More powerful digging,更强的挖掘力,"投射物/触发: add_projectile(""data/entities/projectiles/deck/powerdigger.xml"") | 状态修正: c.fire_rate_wait += 1; current_reload_time -= ACTION_DRAW_RELOAD_TIME_INCREASE - 10",3
70,CHAINSAW,ACTION_TYPE_PROJECTILE,Chainsaw,链锯,1,1000,80,"0,2","1,1",data/entities/projectiles/deck/chainsaw.xml,,,,A good tool for cutting meat. Also has some magical properties...,切肉的不错工具。同时也有一些魔法属性...,"投射物/触发: add_projectile(""data/entities/projectiles/deck/chainsaw.xml"") | 状态修正: c.spread_degrees += 6.0; current_reload_time -= ACTION_DRAW_RELOAD_TIME_INCREASE - 10 | 状态赋值: c.fire_rate_wait = 0",4
71,LUMINOUS_DRILL,ACTION_TYPE_PROJECTILE,Luminous drill,光明穿凿,10,1000,150,"0,2,10","1,1,0.1",data/entities/projectiles/deck/luminous_drill.xml,,,,"A pinpointed, short-ranged beam of concentrated light",尖锐的短射程汇聚光束,"投射物/触发: add_projectile(""data/entities/projectiles/deck/luminous_drill.xml"") | 状态修正: c.fire_rate_wait -= 35; current_reload_time -= ACTION_DRAW_RELOAD_TIME_INCREASE - 10",3
72,LASER_LUMINOUS_DRILL,ACTION_TYPE_PROJECTILE,Luminous drill with timer,带有定时的光明穿凿,30,1000,220,"0,2,6,10","1,1,0.2,0.1",data/entities/projectiles/deck/luminous_drill.xml,,,,"A pinpointed, short-ranged beam of concentrated light that casts another spell after a timer runs out",在定时结束后施放另一法术的短射程尖锐汇聚光束,"投射物/触发: add_projectile_trigger_timer(""data/entities/projectiles/deck/luminous_drill.xml"",4,1) | 状态修正: c.fire_rate_wait -= 35; current_reload_time -= ACTION_DRAW_RELOAD_TIME_INCREASE - 10",3
73,TENTACLE,ACTION_TYPE_PROJECTILE,Summon Tentacle,召唤触手,20,40,200,"3,4,5,6","1,0.5,1,0.8",data/entities/projectiles/deck/tentacle.xml,data/entities/misc/custom_cards/tentacle.xml,,,Calls a terrifying appendage from another dimension,召唤一条来自异次元的绵延之物,"投射物/触发: add_projectile(""data/entities/projectiles/deck/tentacle.xml"") | 状态修正: c.fire_rate_wait += 40",2
74,TENTACLE_TIMER,ACTION_TYPE_PROJECTILE,Summon Tentacle with timer,带有定时的触手,20,40,250,"3,4,5,6","0.6,0.8,0.6,0.7",data/entities/projectiles/deck/tentacle.xml,data/entities/misc/custom_cards/tentacle_timer.xml,,,Calls a terrifying appendage from another dimension! Comes with a timer,召唤一条来自异次元的绵延之物！附带定时,"投射物/触发: add_projectile_trigger_timer(""data/entities/projectiles/deck/tentacle.xml"",20,1) | 状态修正: c.fire_rate_wait += 40",2
75,HEAL_BULLET,ACTION_TYPE_PROJECTILE,Healing bolt,治疗魔弹,15,20,60,"2,3,4","1,1,0.6",data/entities/projectiles/deck/heal_bullet.xml,data/entities/misc/custom_cards/heal_bullet.xml,true,,A magical bolt with rejuvenative powers,带有复生之力的魔法弹,"投射物/触发: add_projectile(""data/entities/projectiles/deck/heal_bullet.xml"") | 状态修正: c.fire_rate_wait += 4; c.spread_degrees += 2.0",3
76,ANTIHEAL,ACTION_TYPE_PROJECTILE,Deadly heal,致命治愈,20,20,200,"2,3,4,5","0.4,0.3,0.3,0.3",data/entities/projectiles/deck/healhurt.xml,,true,,"A projectile that at first deals damage, then heals over time",起初会造成伤害，然后开始持续治疗的投射物,"投射物/触发: add_projectile(""data/entities/projectiles/deck/healhurt.xml"") | 状态修正: c.fire_rate_wait += 8; c.screenshake += 2; c.spread_degrees += 3.0",5
77,SPIRAL_SHOT,ACTION_TYPE_PROJECTILE,Spiral shot,螺旋魔弹,50,15,190,"4,5,6","0.7,0.8,0.7",data/entities/projectiles/deck/spiral_shot.xml,data/entities/misc/custom_cards/spiral_shot.xml,,,A mystical whirlwind of magic sparks,魔法火花的神秘旋涡,"投射物/触发: add_projectile(""data/entities/projectiles/deck/spiral_shot.xml"") | 状态修正: c.fire_rate_wait += 20",2
78,MAGIC_SHIELD,ACTION_TYPE_PROJECTILE,Magic guard,魔法护卫,40,,100,"2,4,5,6","0.5,0.6,0.7,1",data/entities/projectiles/deck/magic_shield_start.xml,,,,Four guarding lights rotate around you for a time,四道护卫之光在你周围旋转一段时间,"投射物/触发: add_projectile(""data/entities/projectiles/deck/magic_shield_start.xml"") | 状态修正: c.fire_rate_wait += 20",2
79,BIG_MAGIC_SHIELD,ACTION_TYPE_PROJECTILE,Big magic guard,大型魔法护卫,60,,120,"2,4,5,6,10","0.2,0.4,0.5,0.6,0.2",data/entities/projectiles/deck/big_magic_shield_start.xml,,,,Eight guarding lights rotate around you for a time,八道护卫之光在你周围旋转一段时间,"投射物/触发: add_projectile(""data/entities/projectiles/deck/big_magic_shield_start.xml"") | 状态修正: c.fire_rate_wait += 30",2
80,CHAIN_BOLT,ACTION_TYPE_PROJECTILE,Chain bolt,连环魔弹,80,,240,"0,4,5,6","0.75,1,0.8,0.6",data/entities/projectiles/deck/chain_bolt.xml,,,,Fires a mysterious bolt that jumps from enemy to enemy,发射会在敌人之间跳跃的神秘魔弹,"投射物/触发: add_projectile(""data/entities/projectiles/deck/chain_bolt.xml"") | 状态修正: c.spread_degrees += 14.0; c.fire_rate_wait += 45",3
81,FIREBALL,ACTION_TYPE_PROJECTILE,Fireball,火球,70,15,220,"0,3,4,6","1,0.7,1,0.5",data/entities/projectiles/deck/fireball.xml,data/entities/misc/custom_cards/fireball.xml,,,A powerful exploding spell,强力的爆炸法术,"投射物/触发: add_projectile(""data/entities/projectiles/deck/fireball.xml"") | 状态修正: c.spread_degrees += 4.0; c.fire_rate_wait += 50",4
82,METEOR,ACTION_TYPE_PROJECTILE,Meteor,陨石,150,10,280,"4,5,6,10","0.6,0.6,0.7,0.5",data/entities/projectiles/deck/meteor.xml,,,,A destructive projectile from the skies!,从天而降的毁灭性投射物！,"投射物/触发: add_projectile(""data/entities/projectiles/deck/meteor.xml"")",1
83,FLAMETHROWER,ACTION_TYPE_PROJECTILE,Flamethrower,火焰喷射器,20,60,220,"2,3,4,6","0.8,0.9,0.9,0.6",data/entities/projectiles/deck/flamethrower.xml,data/entities/misc/custom_cards/flamethrower.xml,,,A stream of fire!!,一道火流！,"投射物/触发: add_projectile(""data/entities/projectiles/deck/flamethrower.xml"") | 状态修正: c.spread_degrees += 4.0",2
84,ICEBALL,ACTION_TYPE_PROJECTILE,Iceball,冰球,90,15,260,"2,3,4,6","0.8,0.9,0.9,0.6",data/entities/projectiles/deck/iceball.xml,data/entities/misc/custom_cards/iceball.xml,,,A magical ball of frozen fire,冻结火焰的魔法球,"投射物/触发: add_projectile(""data/entities/projectiles/deck/iceball.xml"") | 状态修正: c.spread_degrees += 8.0; c.fire_rate_wait += 80",4
85,SLIMEBALL,ACTION_TYPE_PROJECTILE,Slimeball,粘液球,20,50,130,"0,3,4","1,1,0.7",data/entities/projectiles/deck/slime.xml,data/entities/misc/custom_cards/slimeball.xml,,,A dripping ball of poisonous slime,有毒粘液的湿漉漉球体,"投射物/触发: add_projectile(""data/entities/projectiles/deck/slime.xml"") | 状态修正: c.spread_degrees += 4.0; c.fire_rate_wait += 10; c.speed_multiplier *= 1.1",10
86,DARKFLAME,ACTION_TYPE_PROJECTILE,Path of dark flame,黑焰之道,90,60,180,"3,5,6","1,0.9,0.8",data/entities/projectiles/darkflame.xml,data/entities/misc/custom_cards/darkflame.xml,,,"A trail of dark, deadly flames",致命黑焰之迹,"投射物/触发: add_projectile(""data/entities/projectiles/darkflame.xml"") | 状态修正: c.fire_rate_wait += 20",2
87,MISSILE,ACTION_TYPE_PROJECTILE,Summon missile,召唤飞弹,60,20,200,"1,2,3,5","0.5,0.5,1,1",data/entities/projectiles/deck/rocket_player.xml,,,,A missile!!!,一枚飞弹！！！,"投射物/触发: add_projectile(""data/entities/projectiles/deck/rocket_player.xml"") | 状态修正: c.spread_degrees += 3.0; current_reload_time += 30",4
88,FUNKY_SPELL,ACTION_TYPE_PROJECTILE,,,5,-1,50,"6,10","0.1,0.1",data/entities/projectiles/deck/machinegun_bullet.xml,,,,,,"投射物/触发: add_projectile(""data/entities/projectiles/deck/machinegun_bullet.xml"") | 状态修正: c.fire_rate_wait -= 3; c.screenshake += 0.2; c.spread_degrees += 2.0; c.damage_critical_chance += 1",5
89,PEBBLE,ACTION_TYPE_PROJECTILE,Summon rock spirit,召唤岩石精灵,120,10,200,"1,2,4,6","0.9,1,0.9,0.6",data/entities/projectiles/deck/pebble_player.xml,,,,Summons an autonomous rock ally,召唤一个自动行动的岩石伙伴,"投射物/触发: add_projectile(""data/entities/projectiles/deck/pebble_player.xml"") | 状态修正: c.fire_rate_wait += 80",2
90,DYNAMITE,ACTION_TYPE_PROJECTILE,Dynamite,炸药,50,16,160,"0,1,2,3,4","1,0.9,0.8,0.7,0.6",data/entities/projectiles/deck/tnt.xml,data/entities/misc/custom_cards/tnt.xml,,,Summons a small explosive,召唤一枚小型爆炸物,"投射物/触发: add_projectile(""data/entities/projectiles/deck/tnt.xml"") | 状态修正: c.fire_rate_wait += 50; c.spread_degrees += 6.0",3
91,GLITTER_BOMB,ACTION_TYPE_PROJECTILE,Glitter bomb,闪烁炸弹,70,16,200,"0,1,2,3,4","0.8,0.9,0.8,0.7,0.6",data/entities/projectiles/deck/glitter_bomb.xml,data/entities/misc/custom_cards/glitter_bomb.xml,,,Summons a bomb that explodes into volatile fragments,召唤一枚会爆炸成易燃碎片的炸弹,"投射物/触发: add_projectile(""data/entities/projectiles/deck/glitter_bomb.xml"") | 状态修正: c.fire_rate_wait += 50; c.spread_degrees += 12.0",3
92,BUCKSHOT,ACTION_TYPE_PROJECTILE,Triplicate bolt,三联魔弹,25,,160,"0,1,2,3,4","1,1,0.9,0.9,0.6",data/entities/projectiles/deck/buckshot_player.xml,,,,"A formation of three small, fast bolts",由三个小型快速魔弹组成,"投射物/触发: add_projectile(""data/entities/projectiles/deck/buckshot_player.xml""); add_projectile(""data/entities/projectiles/deck/buckshot_player.xml""); add_projectile(""data/entities/projectiles/deck/buckshot_player.xml"") | 状态修正: c.fire_rate_wait += 8; c.spread_degrees += 14.0",5
93,FREEZING_GAZE,ACTION_TYPE_PROJECTILE,Freezing gaze,冰冷凝视,45,20,180,"2,3,4","0.9,1,1",data/entities/projectiles/deck/freezing_gaze_beam.xml,,,,A heart-freezingly sinister aura,令人心里发凉的险恶气氛,"投射物/触发: add_projectile(""data/entities/projectiles/deck/freezing_gaze_beam.xml""); add_projectile(""data/entities/projectiles/deck/freezing_gaze_beam.xml""); add_projectile(""data/entities/projectiles/deck/freezing_gaze_beam.xml""); add_projectile(""data/entities/projectiles/deck/freezing_gaze_beam.xml"") ... | 状态修正: c.fire_rate_wait += 20 | 状态赋值: c.pattern_degrees = 30",14
94,GLOWING_BOLT,ACTION_TYPE_PROJECTILE,Pinpoint of light,汇聚之光,65,,220,"3,4,5,10","0.8,0.9,1,0.1",data/entities/projectiles/deck/glowing_bolt.xml,,,,An extremely concentrated point of light that explodes after a moment,光极度集中的一点，一段时间后爆炸,"投射物/触发: add_projectile(""data/entities/projectiles/deck/glowing_bolt.xml"") | 状态修正: c.fire_rate_wait += 40; c.spread_degrees += 6.0",3
95,SPORE_POD,ACTION_TYPE_PROJECTILE,Prickly Spore Pod,多刺孢子荚,20,,200,"1,2,3,4,5","0.7,0.8,0.9,0.8,0.6",data/entities/projectiles/deck/spore_pod.xml,,,,Summons a spore pod that attaches to a surface and then grows and explodes into spikes,召唤一个会附着在表面的孢子荚，之后它会生长并爆出尖刺,"投射物/触发: add_projectile(""data/entities/projectiles/deck/spore_pod.xml"") | 状态修正: c.fire_rate_wait += 40",3
96,GLUE_SHOT,ACTION_TYPE_PROJECTILE,Glue Ball,胶球,25,,140,"2,3,4,5","0.7,0.4,0.2,0.5",data/entities/projectiles/deck/glue_shot.xml,,,,A projectile that explodes into a sticky mess,投射物爆炸为黏嗒嗒的一片,"投射物/触发: add_projectile(""data/entities/projectiles/deck/glue_shot.xml"") | 状态修正: c.fire_rate_wait += 30; c.spread_degrees += 5.0",3
97,BOMB_HOLY,ACTION_TYPE_PROJECTILE,Holy Bomb,神圣炸弹,300,2,400,"2,3,4,5,6,10","0.2,0.2,0.2,0.2,0.2,0.5",data/entities/projectiles/bomb_holy.xml,data/entities/misc/custom_cards/bomb_holy.xml,,,Summons a bomb that... well...,召唤一枚炸弹，效果嘛... 呃...,"投射物/触发: add_projectile(""data/entities/projectiles/bomb_holy.xml"") | 状态修正: c.fire_rate_wait += 40; current_reload_time += 80",4
98,BOMB_HOLY_GIGA,ACTION_TYPE_PROJECTILE,Giga Holy Bomb,巨型神圣炸弹,600,2,600,10,1,data/entities/projectiles/bomb_holy_giga.xml,data/entities/misc/custom_cards/bomb_holy_giga.xml,true,,Bigger and therefore holier,个头更大，神圣更足,"投射物/触发: add_projectile(""data/entities/projectiles/bomb_holy_giga.xml"") | 状态修正: c.fire_rate_wait += 120; current_reload_time += 160",4
99,PROPANE_TANK,ACTION_TYPE_PROJECTILE,Propane tank,丙烷罐,75,10,200,"2,3,4,5,6","1,1,0.8,0.8,0.7",data/entities/projectiles/propane_tank.xml,data/entities/misc/custom_cards/propane_tank.xml,,,Summons a propane tank. Be careful what you wish for.,召唤一个丙烷罐。许愿的时候，最好小心一点。,"投射物/触发: add_projectile(""data/entities/projectiles/propane_tank.xml"") | 状态修正: c.fire_rate_wait += 100",2
100,BOMB_CART,ACTION_TYPE_PROJECTILE,Bomb cart,炸弹矿车,75,6,200,"2,3,4,5,6","0.6,0.6,0.5,0.8,0.6",data/entities/projectiles/bomb_cart.xml,,,,Summons a self-propeled mine cart loaded with explosives,召唤一辆满载炸药的自推进矿车,"投射物/触发: add_projectile(""data/entities/projectiles/bomb_cart.xml"") | 状态修正: c.fire_rate_wait += 60",3
101,CURSED_ORB,ACTION_TYPE_PROJECTILE,Cursed sphere,诅咒之球,40,,200,"1,2,3","0.3,0.2,0.1",data/entities/projectiles/orb_cursed.xml,,,,A projectile that brings bad luck to anyone it hits,将厄运带给被击中者的投射物,"投射物/触发: add_projectile(""data/entities/projectiles/orb_cursed.xml"") | 状态修正: c.fire_rate_wait += 20",3
102,EXPANDING_ORB,ACTION_TYPE_PROJECTILE,Expanding Sphere,扩张之球,70,,200,"2,3,4,5,6","0.5,0.5,1,1,0.5",data/entities/projectiles/orb_expanding.xml,,,,A slow projectile that increases its damage over time,随时间推移提高伤害的缓慢投射物,"投射物/触发: add_projectile(""data/entities/projectiles/orb_expanding.xml"") | 状态修正: c.fire_rate_wait += 30",3
103,CRUMBLING_EARTH,ACTION_TYPE_PROJECTILE,Earthquake,地震,240,3,300,"2,3,4,5,6","0.4,0.3,0.5,0.6,0.9",data/entities/projectiles/deck/crumbling_earth.xml,,,,Calls the anger of the earth,呼唤大地的愤怒,"投射物/触发: add_projectile(""data/entities/projectiles/deck/crumbling_earth.xml"")",1
104,SUMMON_ROCK,ACTION_TYPE_PROJECTILE,Rock,岩石,100,3,160,"0,1,2,3,4,5,6","0.8,0.8,0.6,0.6,0.3,0.7,0.7",data/entities/projectiles/deck/rock.xml,data/entities/misc/custom_cards/summon_rock.xml,,,Create a mighty rock out of thin air,强悍的岩石凭空出现,"投射物/触发: add_projectile(""data/entities/projectiles/deck/rock.xml"")",1
105,SUMMON_EGG,ACTION_TYPE_PROJECTILE,Summon egg,召唤蛋,100,2,220,"0,1,2,3,4,5,6","0.7,0.8,0.8,0.7,0.6,0.6,0.5",data/entities/items/pickup/egg_monster.xml,,,,Summons an egg that houses a friendly creature,召唤育有友好生物的蛋,"投射物/触发: add_projectile(""data/entities/items/pickup/"" .. egg_name) | 引擎调用: SetRandomSeed(GameGetFrameNum(); Random(1, #types)",5
106,SUMMON_HOLLOW_EGG,ACTION_TYPE_PROJECTILE,Summon hollow egg,召唤空的蛋,30,,140,"0,1,2,5,6","0.6,0.8,0.7,0.8,0.3",data/entities/items/pickup/egg_hollow.xml,,,,Summons an otherwise empty egg that casts a spell upon cracking open,召唤一个空的蛋，在裂开之时释放法术,"投射物/触发: add_projectile_trigger_death(""data/entities/items/pickup/egg_hollow.xml"", 1) | 状态修正: c.fire_rate_wait -= 12",2
107,TNTBOX,ACTION_TYPE_PROJECTILE,Summon Explosive Box,召唤炸药箱,40,15,150,"1,2,3,5","0.8,0.9,0.5,0.4",data/entities/projectiles/deck/tntbox.xml,,,,Summons a box of explosive matter,召唤一箱爆炸物质,"投射物/触发: add_projectile(""data/entities/projectiles/deck/tntbox.xml"") | 状态修正: c.fire_rate_wait += 30",2
108,TNTBOX_BIG,ACTION_TYPE_PROJECTILE,Summon Large Explosive Box,召唤大号炸药箱,40,15,170,"2,4,5","0.8,1,0.7",data/entities/projectiles/deck/tntbox_big.xml,,,,Summons a large box of explosive matter,召唤一大箱爆炸物质,"投射物/触发: add_projectile(""data/entities/projectiles/deck/tntbox_big.xml"") | 状态修正: c.fire_rate_wait += 30",2
109,SWARM_FLY,ACTION_TYPE_STATIC_PROJECTILE,Summon fly swarm,召唤苍蝇群,60,,90,"2,4,5","0.3,0.4,0.5",data/entities/projectiles/deck/swarm_fly.xml,,,,Summons five flies to aid you in battle,召唤五只苍蝇，为你助战,"投射物/触发: add_projectile(""data/entities/projectiles/deck/swarm_fly.xml""); add_projectile(""data/entities/projectiles/deck/swarm_fly.xml""); add_projectile(""data/entities/projectiles/deck/swarm_fly.xml""); add_projectile(""data/entities/projectiles/deck/swarm_fly.xml"") | 状态修正: c.spread_degrees += 6.0; c.fire_rate_wait += 60; current_reload_time += 20",7
110,SWARM_FIREBUG,ACTION_TYPE_STATIC_PROJECTILE,Summon Firebug swarm,召唤萤火虫群,70,,100,"2,5,6","0.2,0.4,0.5",data/entities/projectiles/deck/swarm_firebug.xml,,,,Summons four fire bugs to aid you in battle,召唤四只萤火虫，为你助战,"投射物/触发: add_projectile(""data/entities/projectiles/deck/swarm_firebug.xml""); add_projectile(""data/entities/projectiles/deck/swarm_firebug.xml""); add_projectile(""data/entities/projectiles/deck/swarm_firebug.xml"") | 状态修正: c.spread_degrees += 12.0; c.fire_rate_wait += 60; current_reload_time += 20",6
111,SWARM_WASP,ACTION_TYPE_STATIC_PROJECTILE,Summon Wasp swarm,召唤黄蜂群,80,,120,"4,5,6","0.2,0.5,0.6",data/entities/projectiles/deck/swarm_wasp.xml,,,,Summon six wasps to aid you in battle,召唤六只黄蜂，为你助战,"投射物/触发: add_projectile(""data/entities/projectiles/deck/swarm_wasp.xml""); add_projectile(""data/entities/projectiles/deck/swarm_wasp.xml""); add_projectile(""data/entities/projectiles/deck/swarm_wasp.xml""); add_projectile(""data/entities/projectiles/deck/swarm_wasp.xml"") ... | 状态修正: c.spread_degrees += 24.0; c.fire_rate_wait += 60; current_reload_time += 20",8
112,FRIEND_FLY,ACTION_TYPE_STATIC_PROJECTILE,Summon Friendly fly,召唤友好苍蝇,120,,160,"4,5,6","0.2,0.6,0.5",data/entities/projectiles/deck/friend_fly.xml,,,,Summons a friendly fly that attacks your enemies!,召唤一只友好的苍蝇，攻击你的敌人！,"投射物/触发: add_projectile(""data/entities/projectiles/deck/friend_fly.xml"") | 状态修正: c.spread_degrees += 24.0; c.fire_rate_wait += 80; current_reload_time += 40",4
113,ACIDSHOT,ACTION_TYPE_PROJECTILE,Acid ball,酸液球,20,20,180,"1,2,3,4","1,1,0.9,0.6",data/entities/projectiles/deck/acidshot.xml,data/entities/misc/custom_cards/acidshot.xml,,,A terrifying acidic projectile,可怕的酸蚀投射物,"投射物/触发: add_projectile(""data/entities/projectiles/deck/acidshot.xml"") | 状态修正: c.fire_rate_wait += 10",2
114,THUNDERBALL,ACTION_TYPE_PROJECTILE,Thunder charge,雷霆放射,120,3,300,"2,4,6,10","0.9,1,0.7,0.2",data/entities/projectiles/thunderball.xml,data/entities/misc/custom_cards/thunderball.xml,,,A projectile with immense stored electricity,储存有强大电力的投射物,"投射物/触发: add_projectile(""data/entities/projectiles/thunderball.xml"") | 状态修正: c.fire_rate_wait += 120",2
115,FIREBOMB,ACTION_TYPE_PROJECTILE,Firebomb,火焰炸弹,10,70,90,"1,2,3","1,0.9,0.7",data/entities/projectiles/deck/firebomb.xml,data/entities/misc/custom_cards/firebomb.xml,,,"Slow, fiery bolt",缓慢而炽烈的魔弹,"投射物/触发: add_projectile(""data/entities/projectiles/deck/firebomb.xml"")",1
116,SOILBALL,ACTION_TYPE_MATERIAL,Chunk of soil,一把泥土,5,,10,"1,2,3,5","0.8,0.8,1,0.75",data/entities/projectiles/chunk_of_soil.xml,,,,Don't soil yourself,别把自己弄脏了,"投射物/触发: add_projectile(""data/entities/projectiles/chunk_of_soil.xml"")",1
117,DEATH_CROSS,ACTION_TYPE_PROJECTILE,Death cross,死亡十字,80,,210,"1,2,3,4,5,6","1,0.8,0.6,0.5,0.5,0.3",data/entities/projectiles/deck/death_cross.xml,data/entities/misc/custom_cards/death_cross.xml,,,A deadly energy cross that explodes after a short time,短暂时间后爆炸的致命能量十字,"投射物/触发: add_projectile(""data/entities/projectiles/deck/death_cross.xml"") | 状态修正: c.fire_rate_wait += 40",2
118,DEATH_CROSS_BIG,ACTION_TYPE_PROJECTILE,Giga death cross,巨大死亡十字,150,8,310,"2,3,4,5,6,10","0.4,0.5,0.55,0.3,0.4,0.2",data/entities/projectiles/deck/death_cross_big.xml,data/entities/misc/custom_cards/death_cross.xml,,,"A giant, deadly energy cross that explodes after a short time",短暂时间后爆炸的致命巨大能量十字,"投射物/触发: add_projectile(""data/entities/projectiles/deck/death_cross_big.xml"") | 状态修正: c.fire_rate_wait += 70",3
119,INFESTATION,ACTION_TYPE_PROJECTILE,Infestation,侵扰,40,150,160,"2,3,4","0.1,0.3,0.4",data/entities/projectiles/deck/infestation.xml,,,,A bunch of magical sparks that fly in every direction,一批魔法火花向各个方向飞去,"投射物/触发: add_projectile(""data/entities/projectiles/deck/infestation.xml"") | 状态修正: c.fire_rate_wait -= 2; c.spread_degrees += 25",6
120,WALL_HORIZONTAL,ACTION_TYPE_STATIC_PROJECTILE,Horizontal barrier,水平屏障,70,80,160,"0,1,2,4,5","0.4,0.4,0.6,0.5,0.2",data/entities/projectiles/deck/wall_horizontal.xml,,,,"A thin, horizontal barrier that harms passing creatures, including you",一道薄薄的水平屏障伤害通过的生物 – 包括你在内,"投射物/触发: add_projectile(""data/entities/projectiles/deck/wall_horizontal.xml"") | 状态修正: c.fire_rate_wait += 5",2
